title,year,abstract,citation
有机酸对多酚氧化酶的抑制作用:从模型体系到食品体系,2019,"有机酸是广泛应用于食品工业的抑制多酚氧化酶(PPO)的活性和酶促褐变。本文探讨PPO和酶促褐变的抑制机制基于模型系统研究各种有机酸,批判性评价的相关性研究,真正的食物系统和评估的含义有机酸的协同抑制作用与其他物理化学处理技术在产品质量和安全。有机酸抑制PPO的活性和酶促褐变通过不同的机制,因此特定的有机酸的适用性取决于PPO的结构和催化性能和食物的物理化学性质的矩阵。模型系统的研究提供了宝贵的见解不同有机物酸的抑制机理。然而,PPO抑制剂的效果差异的模型系统和食品系统和PPO抑制的程度之间缺乏相关性,基于在体外实验中,酶促褐变暗示有机酸的有效性只能通过直接准确地评估评估褐变抑制系统在一个特定的食物。有机酸和物理处理技术是最可行的方法之一PPO抑制自观察协同效应有助于减少不良的感官质量变化使用过度集中的有机酸或强烈的物理处理。",0
基于直接数字频率合成的长距离后向散射通信方法,2019,"长期(罗拉)反向散射通信(BC)不仅具有低成本、低功耗的优点,但也有很长的通信距离。然而,现有的罗拉BC方案复杂,不能应用于实际工程。为此,一个新的罗拉BC方法提出。直接数字频率合成(DDS)技术是用于生成一个方波的频率线性变化罗拉散射调制信号。第一次,基于单片机的罗拉BC的原型系统。实验结果表明,设计能够成功实现后向散射通信在任何位置车站和接收机之间相距208米,同时兼容商品罗拉芯片组。此外,该方法也适用于一个特定于应用程序的集成电路(ASIC)设计,使罗拉的反向散射集成电路具有更高的鲁棒性,较低的成本和更低的能耗。",0
用MoS2/SiO2 van der Waals异质结转移印刷VO2薄膜,2019,"近年来,柔性电子设备吸引了太多的关注由于其潜在的应用领域的物联网和生物电子学。的集成功能氧化物材料在柔性聚合物已被证明是一个有效的方法来实现高性能柔性电子设备。然而,由于加工温度高,氧化的合成高质量的电影直接在柔性聚合物基质仍然是一个重大挑战。本研究提出了一个方法,转移印刷大面积最大电影基于二硫化钼/二氧化矽范德瓦耳斯垂直。由于不同的亲水和疏水性能的二硫化钼和二氧化硅的电影,我们可以分离二硫化钼/二氧化矽范德瓦耳斯异质结界面只通过使用去离子水,和转移印花最大的电影从硅/二氧化硅/二硫化钼/二氧化硅/最大Si、二氧化硅/ Si和灵活的基质。x射线衍射(XRD)结果表明,最大电影的晶体结构没有差异之前和之后的转移过程。与温度有关的拉曼光谱和红外反射光谱具备良好的金属绝缘体转变(MIT)最大电影转移印刷前后的性能。这些结果表明转移印刷功能氧化物薄膜的有效方法,使低温集成就是VO2薄膜的任意基质不引入牺牲层和腐蚀性溶剂。我们的研究提供了一种新的方式灵活的可穿戴电子设备应用程序集成功能氧化物。",0
最大距离可分矩阵的构造与最小异或计数,2019,"随着物联网的发展,小型通讯设备如无线传感器和无线射频识别(RFID)标签被广泛使用,这些状况的计算能力有限,传统的加密算法难以实现在这些设备上。如何构建一个高效的扩散层成为一个迫在眉睫的问题。最好的扩散性质,最大距离可分(MDS)矩阵通常是用于构造块密码的扩散层。异或操作的数量(XOR)是一个指标的硬件应用程序的效率。结合xor计算方法可以更准确地评估硬件效率矩阵和特殊structure-Toeplitz矩阵,有效MDS矩阵构造xor较少。使用托普利兹矩阵的结构特点,改进的矩阵元素的约束,减少矩阵搜索的复杂性。4 x4 MDS矩阵和最低的6 x6 MDS矩阵xor的有限域F-28得到,和5 x5 MDS矩阵等于已知的xor也获得最佳结果。该方法构造的MDS托普利兹矩阵最少的xor轻量级密码算法的设计很有意义。",0
物联网中基于Multi-Agent的物间动态关系发现,2019,"物联网中存在大量异构关系的实体,其信息间的交互造成了物联网的内在矛盾。针对这一问题,提出将物联网中实体抽象化为对应的Agent,并以个体人为中心,利用本体的语义匹配及改进的物间动态关系计算方法,计算出针对个体人的物间动态关系;将原本异构的实体关系转化为Agent间基于动态关系紧密度排序的网络关系。经实验验证,该方法构建的关系网络可明显改善异构实体间交互的矛盾,而且相比原有类似方法,该方法解决问题的准确率和误差率均有改善,说明了该方法的准确性和可行性。",0
物联网技术下重复质押风险的防范,2019,"由于动产质押中重复质押的风险,给银行带来难以预估的损失。针对是否采用物联网技术防范重复质押风险的决策以及物联网采用成本的控制,对比分析了银行与第三方监管企业采用物联网前后两阶段的收益状况。着重分析物联网技术的采用对银行与第三方监管企业的收益及银行支付监管费用的影响。结果表明,物联网技术的采用成本在一定取值内,银行与第三方监管企业能共同提升总体收益并取得长期的合作关系。此外,物联网的采用不仅有效防范了动产质押监管中重复质押的风险,同时改善了供应链成员之间信息不对称的现状。",0
轻量级分组密码ESF的相关密钥不可能差分密码分析,2019,"六堡垒(养)是一种轻量级分组密码与广义Feistel结构,可用于资源受限的环境,如保护无线射频识别(RFID)标签在互联网的东西。目前,养的安全研究主要采用不可能差分密码分析。养的能力抵制这次不可能差分密码分析研究了基于特征的S-boxes和关键的时间表。微分辨义成分,通过构造一个11-round这次不可能攻击15-round养提出了通过添加2-round顶部和底部2-round。这种攻击的时间复杂度2 (40.5)15-round加密和数据的复杂性2(61.5)选择明文与40个螺丝刀中恢复过来。与发表的结果相比,时间复杂度却降低了复杂性和数据是理想的攻击轮的数量增加。",0
[用于心电图信号心律失常识别的深度残差卷积神经网络],2019,"心电图信号易受内外噪声干扰，其形态特征在不同患者中存在明显差异。即使是同一病人，在不同的时间和身体条件下，其特征也是不同的。因此，心电信号的检测和识别对于心脏病的实时监测和诊断仍有一定的难度。在此基础上，提出了一种基于小波自适应阈值去噪和深度残差卷积神经网络算法的多类心律失常识别方法。利用小波自适应阈值技术实现心电信号滤波。设计了一个包含多个残块的20层卷积神经网络(CNN)，即deep residual convolutional neural network (DR-CNN)，用于识别五种类型的心律失常信号。利用残块局部神经网络单元构造的DR-CNN，减轻了深度网络收敛的困难和调整的困难等。它还克服了传统CNN在网络深度增加时的退化问题。对每个卷积层进行批量归一化处理，提高了其收敛性。建议后医疗仪器的进步协会(AAMI),实验结果基于94 091先锋心跳MIT-BIH心律失常基准数据库表明,我们提出的方法取得了99.034的平均检测精度9%,99.498 - 0%和99.334 - 7%多类分类、心室异位击败(Veb)和supra-Veb (Sveb)识别,分别。实验结果表明，在相同的平台和数据库下，与传统的深度学习网络如深度多层感知器(deep Multilayer Perceptron, MLP)、CNN等相比，我们提出的方法在网络复杂度相当的情况下，显著提高了识别的准确性、敏感性和特异性。DR-CNN算法提高了心律失常智能诊断的准确性。如果将其与可穿戴设备、物联网和无线通信技术相结合，心脏病的预防、监测和诊断可以扩展到家庭、养老院等院外场景。从而提高治愈率，有效节约医疗资源。心电图(ECG)信号在采集过程中容易受内部和外部噪声干扰,而且不同患者的心电图信号形态特征差异较大,即使同一患者在不同时间和环境下其心电图信号也会有差异,因此心电图信号特征检测与识别在心脏病远程实时监测与智能诊断中具有一定难度。基于此,本研究提出将小波自适应阈值去噪和深度残差卷积神经网络算法用于多种心律不齐的信号识别过程中,其中,使用小波自适应阈值技术完成心电图信号滤波,并设计了包含多个残差块(剩余块)结构的20层卷积神经网络(CNN),即深度残差卷积神经网络(DR-CNN),对五大类心律不齐心电图信号进行了识别。然后,本文采用残差块局部神经网络结构单元构建DR-CNN,缓解了深层网络的收敛难,调优难等问题,克服了CNN随着网络层数增加而导致的退化问题,进一步引入批标准化(批正常化)技术,保证了网络的平滑收敛。按照美国医疗器械促进协会(AAMI)的心搏分类标准,使用麻省理工学院和波士顿贝丝以色列医院(MIT-BIH)心律不齐数据库中94 091个心电图心搏信号(2个导联),完成了心律不齐多分类,室性异位搏动(Veb)和室上性异位搏动(Sveb)等分类识别实验。实验结果表明,本文所提出的方法在心电图信号多分类,Veb和Sveb识别中的准确率分别达到了99.034 - 9%,99.498 - 0%和99.334 - 7%。在相同的数据集和实验平台下,DR-CNN在分类准确率,特异性和灵敏度上均优于相同结构复杂度的CNN,深度多层感知机等传统算法.DR-CNN算法提高了心律不齐智能诊断的精度,该方法与可穿戴设备,物联网和无线通信技术相结合,可以将心脏病的预防,监测和诊断延伸到家庭,养老院等院外场景,从而提高心脏病患者的救治率,并且有效地节约医疗资源。",0
【完善病理器材售后服务的“互联网+”解决方案】,2019,"通过运用物联网技术，在病理装备上添加""互联网+""元素，解决在线溯源、在线培训、指导解决故障和远程程序升级等功能，从而提升病理技术、诊断水平和病理装备的售后服务。.",0
[主要照顾者职业压力与职业衰竭分析]。,2019,"目的:了解南京市孤幼护工和杨中基层医院护理人员的职业压力和工作倦怠状况，比较两种社会服务人员职业压力和工作倦怠的差异。方法:从2017年2月至5月进行横断面调查。摘要采用整群抽样的方法，结合物联网职业压力评估系统和传统问卷调查方法，对南京市孤儿护工和杨中基层医院护理人员共403人的职业压力和工作倦怠进行了调查。结果:两组社会服务工作者的职业压力和职业倦怠得分差异有统计学意义(P<0.05)。孤儿的儿童保健工作者在工作控制、技术利用率、工作常规化、工作风险,角色模糊和参与决策、焦虑状态,身体抱怨,生活态度,行为特征,野心,焦虑特质,社会支持,逻辑,得关系,人格解体是高于Yangzhong初级护士(P < 0.05);在数量负荷与变化、工作量、角色冲突、就业前景、晋升、抑郁症状、日常压力、自尊、任务策略、时间管理、工作投入、个人成就感降低等方面，杨中地区基层护士得分高于孤残儿童护理工作者(P<0.05)。对两名社会服务人员的职业耗竭阳性率进行logistic回归分析，孤残儿童护理人员的保护因素有行为特征和家庭支持(OR=0.877, P=0.044;或= 0.691,P = 0.001)。阳中地区基层护理人员的影响因素为任务控制、工作量、工作心理控制源(OR=1.110, P=0.019;OR=1.128, P<0.001;OR=1.066, P=0.032)。保护因素为技术利用、改善机会、心理健康(OR=0.775, P=0.005;或= 0.765,P = 0.006;或= 0.914,P = 0.002)。结论:主要照顾者的工作内容、服务对象和单位性质对职业压力和工作倦怠的状态有影响。职业压力与职业倦怠的影响因素不尽相同，不同的社会服务人员在不同方面表现出职业压力和职业倦怠，有必要对两类社会服务人员提出缓解措施。目的:调查基层护理员的职业应激和职业枯竭状态,分析其影响因素,为采取针对性的干预措施提供依据。方法:于2017年2至5月,采用横断面调查方法,以整群抽样方法选择南京市社会儿童福利院全体在职孤残儿童护理员286人,采用分层整群抽样的方法抽取扬中市2所县级医院和3所乡镇医院护理员189人作为研究对象。使用物联网职业应激评估系统和传统问卷结合的方式调查基层护理员的职业应激和职业枯竭状况并进行影响因素的分析。结果:南京市孤残儿童护理员在工作控制,技术利用度,工作单调性,工作危险,角色模糊,参与决策,焦虑状态,躯体抱怨,一个型行为,焦虑特质、社会支持,逻辑性,家庭与工作关系,人格解体得分均高于扬中市基层医院护理员,差异均有统计学意义(P < 0.05);扬中市基层医院护理员在定量负荷及变化,工作负荷,角色冲突,工作前景,提升机会,抑郁症状,每日紧张感,自尊感,任务策略,时间管理、工作投入,个人成就感降低得分均高于孤残儿童护理员,差异均有统计学意义(P < 0.05)。基层护理员职业枯竭阳性率的物流回归分析显示,南京市孤残儿童护理员的保护因素为行为特征(或= 0.877,95%置信区间ci:0.772 ~ 0.997)和家庭支持(或= 0.691,95% ci: 0.559 ~ 0.853);扬中市基层医院护理员职业枯竭的危险因素为任务控制(或= 1.110,95% ci: 1.017 ~ 1.211),工作负荷(或= 1.128,95% ci: 1.054 ~ 1.206),工作心理控制源(或= 1.066,95% ci: 1.006 ~ 1.130),保护因素为技术利用度(或= 0.775,95% ci: 0.648 ~ 0.926),提升机会(或= 0.765,95% ci: 0.631 ~ 0.927),心理健康(或= 0.914,95% ci: 0.862 ~ 0.969)。结论:基层护理员的工作内容,服务对象,单位性质均对职业应激和职业枯竭状态产生一定的影响。影响职业应激和职业枯竭的因素各不相同,不同基层护理员职业应激和职业枯竭表现在不同方面,需针对两组基层护理员分别提出缓解措施。",0
基于改进的Chan-Vese模型与边缘转换的图像分割算法,2019,"为了实现物联网环境下果园飞鸟的自动驱离,使其复杂条件下能够准确驱赶空中的飞鸟,提出了一种基于改进的Chan-Vese模型与边缘转换的空中飞鸟分割算法。通过准确识别飞鸟,为系统自动发出超声波驱离飞鸟提供准确的信息。利用Canny算子获取飞鸟图像的边缘信息;使用欧氏距离计算得到二进制边缘的距离映射;引入S形函数,构建边缘转换图;引入自动局部比,对Chan-Vese模型进行改进,以准确分割边缘映射图。实验结果表明:与SBGFRLS算法、G-CV算法和FAST EDGE算法相比,该算法具有更高的分割精度,在面对单目标图像分割时,其区域匹配率最高,约为70%,而均方根误差比率只有13%;对于含双目标的图像分割时,其区域匹配率最高,约为85%,而均方根误差比率只有5%。",0
Cordova-NodeJS混合式物联网信息服务系统,2019,"针对传统物联网信息服务系统不能实现物联网终端汇聚节点和物联网应用服务器兼容,无法利用现有的互联网生态圈这两大问题,提出了一种新型Cordova-NodeJS混合式物联网信息服务系统。该系统由基于改进内核的Cordova框架构成的物联网终端汇聚节点和基于Node.js并配合最优点产生算法构成的物联网应用服务器所组成。结合所提出的混合式信息服务架构,该系统运行良好。实验仿真结果也表明,使用该系统架构的物联网信息服务系统相关数据指标较传统信息服务系统表现优异,接近于互联网信息服务系统数据指标,证明该系统具有研究价值。",0
基于低功耗SoC的微型图像采集系统设计,2019,"针对低成本和低功耗的物联网SoC芯片发展要求,基于SMIC 55 nm CMOS工艺,以低功耗开源处理器RI5CY的SoC芯片为平台,结合片内含有DSP与A/D转换功能的低电压CMOS图像传感器OV7725,设计并实现了一款基于开源RISC_V指令集架构SoC芯片的图像采集控制系统.文中介绍了图像采集控制系统的结构,并详细阐述基于AHB总线的图像采集控制器的设计.控制器采用一种改进的异步FIFO来实现不同时钟域的同步设计,具有小面积和低功耗的特点.通过Modelsim仿真、DC综合以及FPGA验证,结果表明:该系统实现了视频图像数据的采集和传输,操作流程简单,易于软件调试,支持应用最高带宽可达37 MB/s. SoC芯片系统的时钟主频为200 MHz,芯片总面积为3 250 * 3 648 m~2,总功耗仅为24.419 mW.",0
面向物联网的异构实体间关系服务模型,2019,"物联网中的实体大多以异构形式存在,解决异构问题是推进物联网发展的重要因素.为此,在分析了实体及实体上载到网络中信息的特点后,基于Agent提出一种异构实体关系服务模型.该模型具有实体信息数据处理和构建实体服务逻辑两种功能,利用提出的全新的实体物间动态关系计算公式将异构数据转化为物间关系紧密度(值),并依此生成了Agent服务序列,结合二分图理论实现物联网环境下的Agent服务逻辑;屏蔽了原本因实体和其信息的异构而使得其无法正常交互通信的缺点,实体通过模型中与之对应的Agent进行交互,并在已构建的服务逻辑下支配Agent;最后对该模型进行了仿真实验,结果表明其可满足物联网环境中的用户服务需求,在数据更新和服务准确率及冲突的处理上要优于传统的本体语义技术对异构问题的处理结果.",0
【慢性创伤诊疗管理战略的新机遇:新兴技术】。,2019,随着社会的进步和疾病谱的变化，慢性创面逐渐成为烧伤整形领域的主要部分。虽然在诊疗技术方面也取得了一些进步，但整体而言，慢性创面诊疗管理策略仍处于传统模式阶段。物联网、云计算、大数据、人工智能等新兴技术的发展日新月异，已快速渗透至健康医疗领域。探索新兴技术在慢性创面诊疗管理中的应用前景，规划其在慢性创面诊治中的策略和模式，可进一步推动烧伤外科学发展。.,0
基于改进猫群算法的物联网感知层路由优化策略,2019,"针对物联网感知节点能量受限造成的数据传输瓶颈问题,提出一种基于改进猫群算法的路由优化策略。通过对猫群优化算法进行改进,根据迭代次数、路径节点能量与适应度值动态调整猫的分配率、记忆池和惯性权重,使其具有动态自适应性。在生成路径时综合考虑路径剩余能量方差、节点能量、节点负载、节点间距离等因素,并引入备份路由思想,保证数据传输的实时性。仿真结果表明,该优化策略能够有效减少最优路径建立时间并均衡网络能耗,延长物联网感知层网络的生命周期。",0
工业物联网密集场景中的演进型时隙分配机制,2019,"随着工业无线传感器设备数量的增加,传统IEEE 802. 15. 4 CSMA/CA协议已不能满足工业无线传感器网络密集场景。为此,提出一种演进型时隙分配机制,为密集场景下的工业无线传感器网络提供合理的时隙分配策略。基于当前最大时隙数构建可分配的时隙集合,根据退避状态指数和随机退避数计算位置指数,从而得到时隙分配方程,并依据该方程分配时隙数。通过不断演进CSMA/CA协议,建立状态转移模型。仿真实验结果表明,该机制可提高密集场景中时隙分配的公平性和传输命中率,降低数据发送延迟。",0
基于双数组trie树的多模式复杂事件检测方法,2019,"制造物联网中海量实时数据流急需高效的事件检测与处理方法,高效意味着单位时间内使用较小的存储空间处理更多的输入事件。提出一种基于双数组trie树的多模式复杂事件检测方法,通过构建多模式匹配自动机模型减少查询过程中冗余的检测和计算,并利用双数组trie树充分压缩存储空间,从而提高了复杂事件处理的效率。仿真实验表明,提出的方案相比传统的单模式复杂事件检测,具有较小的空间和时间消耗。",0
基于区块链技术的物联网信息共享安全机制,2019,"针对物联网(IoT)信息共享中存在的源数据易被篡改、缺乏信用保障机制以及信息孤岛问题,提出一种基于区块链技术的轻量级物联网信息共享安全框架。该框架采用数据区块链和交易区块链相结合的双链模式:在数据区块链中实现数据的分布式存储和防篡改,并通过改进的实用拜占庭容错(PBFT)机制共识算法,提升数据登记效率;在交易区块链中实现资源和数据交易,并通过基于部分盲签名算法的改进算法,提升交易效率、实现隐私保护。仿真实验部分分别针对抗攻击能力、双链的处理能力和时延进行了验证分析,结果表明该框架具有安全性、有效性和可行性,可应对现实物联网中的大部分场景。",0
