"char","year","tf_idf","number"
"现代农业",2018,0.180749956423958,615
"国外",2018,0.150129810896498,615
"互联网",2018,0.147700031635973,615
"农业",2018,0.116433457432748,615
"型",2018,0.094422107033739,615
"水位",2016,0.377652359808614,938
"干燥",2016,0.239383403325358,938
"污水",2016,0.227601183054243,938
"降雨",2016,0.216084338432587,938
"天气",2016,0.185284649966229,938
"跌倒",2018,0.345686308718741,390
"干预",2018,0.199151035172463,390
"P",2018,0.185375540707705,390
"0.01",2018,0.132861263829294,390
"老年人",2018,0.126515335760504,390
"BSN",2012,0.445103515558088,2065
"无线通信",2012,0.142514761450705,2065
"植入式",2012,0.139920648767109,2065
"传感器",2012,0.133851116949394,2065
"研究者",2012,0.107828043747377,2065
"CNN",2019,0.226915517735496,8
"心电图",2019,0.148151275165175,8
"DR",2019,0.13407750981967,8
"心律不齐",2019,0.0957696498711931,8
"卷积",2019,0.0885741758861956,8
"职业",2014,0.477436411484128,1521
"护士",2014,0.409523850050076,1521
"应激反应",2014,0.238256202118578,1521
"酶",2014,0.217123666125897,1521
"岁",2014,0.217123666125897,1521
"职业",2019,0.263958101844121,10
"护理员",2019,0.217942725125201,10
"P",2019,0.130575281263435,10
"ci",2019,0.124538700071544,10
"儿童",2019,0.113492529863417,10
"P",2014,0.365967196493921,1520
"负相关",2014,0.324976990684899,1520
"0.05",2014,0.323770429150538,1520
"呈",2014,0.321392908737622,1520
"胺类",2014,0.252090433209334,1520
"创面",2019,0.58979648524448,15
"慢性",2019,0.454569355491419,15
"诊疗",2019,0.297161551246858,15
"烧伤",2019,0.29489824262224,15
"外科学",2019,0.14744912131112,15
"病理",2019,0.688768828753872,9
"装备",2019,0.287900985397936,9
"售后服务",2019,0.279100122481763,9
"在线",2019,0.232175374144395,9
"培训",2019,0.215108712866475,9
"针灸",2016,0.637943137101172,912
"标准化",2016,0.352513948410031,912
"国际化",2016,0.318971568550586,912
"中医药",2016,0.26238812523957,912
"国际竞争",2016,0.159485784275293,912
"电厂",2018,0.428567271224631,442
"方家",2018,0.173662298433097,442
"庄",2018,0.173662298433097,442
"智慧",2018,0.149491080560339,442
"机组",2018,0.14924869201825,442
"nm",2015,0.586304035726695,1286
"1465",2015,0.545218843917862,1286
"激光",2015,0.440911129032988,1286
"732.",2015,0.272609421958931,1286
"输出",2015,0.270905427681281,1286
"CM",2018,0.545218843917862,560
"慢病",2018,0.363479229278575,560
"个案",2018,0.272609421958931,560
"APP",2018,0.16989643431359,560
"管理",2018,0.126587834395012,560
"共存",2016,0.603344169016584,1180
"无线网络",2016,0.215580085005826,1180
"干扰",2016,0.138464656647329,1180
"众多",2016,0.123745963957772,1180
