title_en,title_ch,year,abstract_en,abstract_ch,keywords_en,keywords_ch
Efficient communication receiver design for Internet of things environment,面向物联网环境的高效通信接收机设计,2020,"Internet of Things (IoT) communication system has the characteristics of small active user number and short data frame,while the pilot and user identification code required by channel estimation and multi-user detection will greatly reduce the communication efficiency and response speed of IoT system.To solve these problems,a blind channel estimation and multi-user detection algorithm based on Non-Orthogonal Multiple Access (NOMA) was proposed.Firstly,the spread spectrum matrix in Code Division Multiple Access (CDMA) system was used to allocate the carrier to each user,and the constellation rotation problem caused by blind estimation was solved by differential coding.Secondly,according to the sparsity of carriers allocated to users,the Bernoulli-Gaussian (B-G) distribution was introduced as a prior distribution,and the hidden Markov characteristic between the variables was used to perform the factor decomposition and modeling,and the multi-user identification was carried out based on sparse features of user data.Finally,the above model was deduced by message passing algorithm to solve multi-user interference caused by NOMA,and the joint channel estimation and detection receiver algorithm for IoT environment was obtained.The simulation results show that,compared with Block Sparse Single Measurement Vector(BS-SMV) algorithm and Block Sparse Adaptive Space Pursuit (BSASP) algorithm,the proposed algorithm can achieve a performance gain of about 1 dB without increasing the complexity.","摘要:物联网(IoT)通信系统具有活跃用户数低、数据帧短等特性,而信道估计和多用户识别所需的导频和用户识别码会显著降低IoT系统的通信效率和响应速度。针对上述问题,提出了一种基于非正交多址接入(NOMA)的盲信道估计和多用户检测算法。首先,利用码分多址(CDMA)系统中的扩频矩阵对每个用户所占用载波进行分配,并采用差分编码解决盲估计所引发的星座点旋转问题;其次,根据用户所分配载波具有的稀疏性,引入伯努利-高斯(BG)分布作为先验分布,利用变量间的隐马尔可夫特性进行因式分解和建模,由用户数据的稀疏特征进行多用户识别;最后,应用消息传递算法对上述模型进行推导,解决NOMA引起的多用户干扰,得到面向IoT环境的联合信道估计和检测接收算法。仿真结果表明,相对于块稀疏单测量向量(BS-SMV)算法和块稀疏自适应子空间求解(BSASP)算法,所提算法能够在不提高复杂度的条件下获得约1 dB的性能增益。",作者关键词:Internet of Things (IoT) communication; blind channel estimation; probabilistic graph model; iterative receiver design; Non-Orthogonal Multiple Access (CDMA),作者关键词:物联网通信; 盲信道估计; 概率图模型; 迭代接收机设计; 非正交多址接入
Preface of Security Techniques in Internet of Things Column,物联网安全技术专栏序言(中英文),2020,"The concept of Internet of Things (IoT for short) has been proposed for over 20 years. The booming development of IoT techniques and industrial applications in China started from 2009. Since then, the China government has paid much attention and given much support both in policy making and financial support. The development of IoT has gone through the processes of concept proposal and initial interest, enthusiasm cooling down, and graduate applications. Now the IoT related applications cover a large variety of industries. The IoT techniques and applications have also been in our everyday life, such as smart home, smart transport systems, WIT120, and smart city.","摘要:物联网的概念已经被提出20多年的时间了,国内对物联网技术和产业的重视是在2009年之后.从2009年开始,国家在物联网相关领域无论从政策方面还是在资金方面都给予了高度的重视和支持.物联网的概念经过最初的热捧阶段,到之后的冷却阶段,再到后来的逐步落地阶段,物联网相关技术和产品慢慢从虚无缥缈发展到实实在在的产业应用.物联网系统和技术不仅应用于许多行业领域,也在不知不觉中走进人们的日常生活:智能家居、智慧交通、智慧医疗、智慧城市,都是人们生活中能感受到的物联网技术的产物.",,作者关键词:物联网; 安全技术; 专栏
A Survey on Authentication Protocols for Internet of Things,物联网认证协议综述,2020,"The large-scale growth of the number of devices in the Internet of Things and the gradual improvement of artificial intelligence technology have brought severe challenges to the security of the Internet of Things. Due to the fact that most devices in Internet of Things have no keyboard input, simple CPU structure, small storage capacity, weak computing, and communication capacity, and due to the difference between the Internet of Things network and computer network, so traditional authentication protocols are not suitable in the Internet of Things environment. Therefore, designing an authentication protocol for the Internet of Things is an essential part of ensuring the security of the Internet of Things. This survey introduces the background of Internet of Things authentication protocols and the relevant research progress in recent years, then analyzes the differences between Internet of Things authentication protocols and traditional computer network authentication protocols. The techniques and mathematical methods commonly used in Internet of Things authentication protocols (e.g. Elliptic curve encryption, Secret sharing, Quantum cryptography and so on) are summarized. The state-of-the-art research results of Internet of Things authentication protocols are described from three aspects: user and device authentication, device and server authentication, device and device authentication. Some future research directions are also discussed.","摘要:物联网设备数量的大规模增长以及人工智能技术的逐步升级给物联网安全带来了严峻的挑战.由于大部分物联网设备具有无键盘输入、CPU结构简单、存储容量小、计算和通信能力弱等特点,以及物联网网络的体系结构和计算机网络的不同,传统的认证协议无法在物联网环境中通用.因此,设计适用于物联网环境的认证协议是保证物联网安全必不可少的环节.本文介绍了物联网认证协议研究的背景以及近几年物联网认证协议的研究进展,分析了物联网认证协议与传统计算机网络认证协议的不同,指出了物联网认证协议中常用的技术和数学方法,包括椭圆曲线加密、秘密共享、量子密码学等,然后从用户与设备认证、设备与服务器认证、设备与设备认证三个方面来介绍物联网认证协议研究的最新研究成果,最后讨论了物联网认证协议未来研究方向.",作者关键词:Internet of Things; authentication protocol; IoT platform security,作者关键词:物联网; 认证协议; 物联网云平台安全
Research on Trader Identity Management Scheme Based on Augur,基于Augur的交易者身份管理方案研究,2020,"With the rapid development of Internet of Things applications, the security issues have attracted more and more attention. Due to the large number of Internet of Things devices and the lack of trust mechanism, the security of Internet of Things devices has become increasingly prominent. Blockchain technology has become a possible solution. With the security mechanism of Blockchain technology, the Internet of Things can establish a credible encryption system to maintain data security. To explore how to use Blockchain technology to solve the security problem of Internet of Things devices, a feasible solution is to explore the identity management scheme of Blockchain applications. This paper studies Augurs identity management scheme, which is a typical Blockchain application, and explores the identity management scheme and potential risks of Blockchain application, and proposes a security solution based on reputation assessment for Augurs identity management scheme that has potential risks and design flaws. The security solution selects 6 credit indicators and 3 credit calculation methods to provide a credibility basis for traders to choose effective market and other Augur trading activities. Finally, this paper uses three indicators to test the accuracy of three methods for different users and provides a basis for the selection of evaluation methods.","摘要:随着物联网应用的快速发展,其安全问题也引起越来越多的关注.由于物联网设备众多,且信任机制缺失,物联网设备安全问题日益突出.区块链技术成为可能的解决途径.利用区块链技术的安全机制,物联网可以建立一套可信的加密系统,从而维护数据的安全.为探索如何利用区块链技术解决物联网设备安全问题,一个可行的解决方案是探索区块链应用的身份管理方案.本文通过对区块链应用Augur的身份管理技术进行研究,探索区块链应用的身份管理方案以及潜在风险,并针对Augur的身份管理方案潜在风险和设计缺陷攻击提出了一个基于信誉评估的安全解决方案.该方案选取了6个信誉指标和3种信誉计算方法,为交易者选择有效市场及其他Augur交易活动提供信誉依据.最后本文利用3个指标检验3种方法针对不同用户类型的评估准确度,为评估方法的选择提供了依据.",作者关键词:Augur; Blockchain; Augur; identity management; reputation assessment,作者关键词:区块链; 身份管理; 信誉评价
A Primary Study on the OT Security of IOT,物联网的OT安全技术探讨,2020,"The Internet of Things (IOT) is treated as a comprehensive information technology that combines the cyberspace and the physical real world, and has wide applications and huge potential market. However, current IoT security techniques do not meet the industrial application requirement. This paper points out the essential differences between the IoT security and traditional information security (known as IT security) in networking environment. Traditional network security is mainly for information security protection, hence IT security techniques apply. This paper emphasizes that, apart from information security protection, IoT security also includes operational security protection, known as OT security protection. This paper describes the concept and the content of OT security, pointes out that the OT security is related to the conversion from information to physical operation, of which the security protection goals are different from those of traditional information security protection, although there are many common techniques in practical implementations. This paper analyzes some characteristics of IT security and those of OT security, including how the IT security techniques and OT security techniques affect with each other, and points out the essential differences between the IT security protection techniques and those of OT security.","摘要:物联网是一种将虚拟网络世界与现实物理世界相结合的综合信息技术,具有广泛的应用和庞大的潜在市场.但是,物联网安全方面的现有技术远不能满足产业的需求.本文指出物联网的安全问题与传统网络环境的信息安全(称为IT安全)有着本质区别.传统网络安全保护的主要是信息,因此使用IT安全技术.本文强调物联网系统除了要保护信息安全外,还需要对操作进行安全保护,这类技术称为OT安全技术.本文对OT安全的概念和内涵进行了描述,指出OT安全是信息转化为物理活动行为的安全问题,其安全防护的目标与传统的信息安全保护不同,尽管在实现技术方面有许多类似的技术.本文分析了 IT安全与OT安全的特性,这些特性包括物联网中的IT技术与OT技术相互作用和相互影响,并阐述常用的IT安全与OT安全保护技术.",作者关键词:Internet of Things; IT security; OT security,作者关键词:物联网; 信息安全; 操作安全
Design and implementation of multi-sensor information processing and display system,多传感器信息处理与显示系统的设计与实现,2020,"A multi-sensor information processing and display system is designed. By synthesizing multi-channel multi-protocol sensor information based on STM32 micro-controller unit(MCU),WiFi wireless module is used to communicate with the host computer, so that the host computer can receive multi-channel sensor information at the same time. The system can realize reliable sensor information acquisition and processing,and provide reliable sensor information for smart home and Internet of things applications.","摘要:设计了一种多传感器信息的处理与显示系统,通过基于STM32单片机对多路多种协议传感器信息的综合,利用WiFi无线模块与上位机进行通信,使得上位机能够同时接收多路传感器信息。利用该系统可以实现可靠的传感器信息的获取和处理,并为智能家居和物联网的应用提供可靠的传感器信息。",作者关键词:sensor; ARINC429 protocol; CAN bus; C# language; WiFi module,作者关键词:传感器; ARINC429协议; CAN总线; C#语言; WiFi模块
Optimal Operation of Power Distribution and Consumption System Based on Ubiquitous Internet of Things:a Cyber-Physical-Social System Perspective,泛在物联的配用电优化运行:信息物理社会系统的视角,2020,"Ubiquitous Internet of Things (IoT) based power distribution and consumption system (PDCS) is a cyber-physical-social system (CPSS) formed by the deep integration of smart distribution grid and power IoT. The participants of ubiquitous IoT based PDCS and their cyber, physical and social attributes are analyzed. The mutual interactions of these participants are also discussed from the cyber field, physical field, and social field. The operation features of ubiquitous IoT based PDCS are abstracted in the CPSS perspective. In the physical field, the features include the flexibility of nodes, network, and functions. In the cyber field, the uncertainty of ubiquitous sensing, edge computing, and cybersecurity are essential features. Moreover, new features in the social field include role variability and utility personalization of participants, and diversification of business models. Based on the analysis of domestic and foreign research trends, the difficulties are refined including feature identification of complex power system, social behavior modeling and hybrid simulation, stochastic game theory framework and application with incomplete information, modeling and solving optimization problem with fusion social attributes, scheduling strategy and driving mechanism for edge computing, interactive security mechanism for the terminal IoT based PDCS. The analysis and discussion are provided on the multidisciplinary intersection of information, physics and social systems at the theoretical level, and the technical support is given for the construction of ubiquitous power IoT and smart grid at the application level.","摘要:泛在物联的配用电系统是智能配电网与电力物联网深度融合形成的信息物理社会系统(CPSS)。分析了泛在物联的配用电系统的参与主体及其信息、物理、社会属性,并从物理域、信息域和社会域3个层面探讨参与主体之间的交互影响,并提炼其运行特点,包括物理域中的节点、网络和功能的灵活性;信息域中的泛在感知的不确定性、计算模式的边缘化、开放交互的安全性;社会域中的角色可变性、效用个性化、商业模式多元化。在分析国内外研究动态的基础上,提炼其难点,包括复杂配用电系统的特征识别、社会行为建模与混合仿真、非完全信息的随机博弈框架与应用、融合社会属性的优化问题建模与求解、边缘计算的调度策略与驱动机制、配用电终端物联网的交互安全机制等。在理论层面为信息、物理、社会系统的多学科交叉提供分析探讨,在应用层面为泛在电力物联网和智能电网的建设提供技术支持。",作者关键词:ubiquitous Internet of Things; cyber-physical-social system; prosumer; optimal operation; edge computing,作者关键词:泛在物联; 信息物理社会系统; 产消者; 优化运行; 边缘计算
Development Patterns and Challenges of Ubiquitous Power Internet of Things,泛在电力物联网发展形态与挑战,2020,"The ubiquitous power Internet of Things (UPIoT) is a key direction for the development of smart grids. Firstly, the main functions and value of UPIoT are summarized. Secondly, the existing research and application foundation of Internet of Things technology in the field of power are surveyed from each link of smart grid. Furthermore, the development model of UPIoT is conceived and proposed, including the technical development trend of three stages of smart grid at present stage, transparent grid and zero marginal cost grid, which provides some ideas for deepening the construction of UPIoT. Finally, several technical challenges of UPIoT are given, which provides a reference to the future research of UPIoT.","摘要:泛在电力物联网是当前智能电网发展的一个重点方向。首先,总结了泛在电力物联网的主要作用和价值体现;其次,从智能电网各个环节概述了物联网技术在电力领域的已有研究和应用基础;进而,构思并提出了泛在电力物联网的发展形态,包含现阶段智能电网、透明电网和零边际成本电网3个阶段的技术发展趋势,为泛在电力物联网建设的深化提供一些思路;最后,提出泛在电力物联网的若干技术挑战,为泛在电力物联网的未来研究提供参考。",作者关键词:smart grid; ubiquitous power Internet of Things; transparent grid; zero marginal cost,作者关键词:智能电网; 泛在电力物联网; 透明电网; 零边际成本
Smart Energy Cloud Platform Based on MQTT and ILZ4 Compression Algorithm,基于MQTT和ILZ4压缩法的智慧能源云平台,2020,"In order to adapt to the smart energy application with large-scale data and fast response requirement, a smart energy cloud platform based on MQTT message transmission and ILZ4 algorithm is proposed. message queuing telemetry transport (MQTT) protocol is introduced into the data communication between Internet of things (IoT) and the cloud platform. The message queue architecture and uploading/downloading message flow process via the MQTT protocol are designed, and the ILZ4 compressor can be introduced and integrated into the tasks of information storage and message transport to achieve real-time data compression and transmission of large-scale monitoring flow. Three million monitored data points are recorded as input data stream of the cloud server. The experimental results show that, the proposed method gets better performance in compression ratio and throughputs, which can quickly reduce the storage cost and transmission overhead of large-scale data. So the proposed platform can provide a good,universal and scalable solution for smart energy applications.","摘要:为了适应数据规模大、响应要求快的智慧能源场景,提出了一种基于消息队列遥测传输(Message Queuing Telemetry Transport,MQTT)消息传输和(Improved Lempel-Ziv4,ILZ4)压缩法的智慧能源云平台。在物联网与云平台之间的数据通信中引入了MQTT协议,设计了基于MQTT协议的消息队列架构和消息流的上传/下载过程,利用引入的ILZ4压缩法可集成到信息存储和消息传输任务中,实现大规模监测信息流的实时压缩和传输。300万个监测数据点作为云服务器的测试数据流进行实验,实验结果表明,所提方法在吞吐量和压缩比性能上更优,从而可快速降低大规模数据的存储成本和传输开销,同时,所提平台为智慧能源应用提供一种良好、通用和可扩展的解决方案。",作者关键词:MQTT; LZ4; MQTT; LZ4; IoT; cloud platform; smart energy,作者关键词:物联网; 云平台; 智慧能源
Research on Real-time Communication System Between MES and PLC,MES与PLC实时通信系统研究,2020,"The use of MES system is to better realize the visual monitoring and production data management in the production process.How to better realize the accurate real-time communication between MES system and PLC and field equipment is a hot issue for each production enterprise to compete for research.In view of the above problems,by studying the Siemens S7-300 PLC and GE's MES system,design the FB block VDCA that communicates with the MES in real time in the PLC,customize the communication message between the upper computer and the lower computer,and realize the upper computer and the lower position through Enternet.Real-time communication of the machine.The design reduces the intermediate hardware,improves the data stability during the communication process,and has strong operability and versatility.It is suitable for automated production lines with various processes,and is actually applied to the engine assembly line to improve engine assembly efficiency.","摘要:使用MES系统是为了更好地实现生产过程中的可视化监控及生产数据管理,如何更好实现MES系统与PLC及现场设备精准实时通信是各个生产型企业争相研究的热点问题.针对以上问题,通过研究西门子S7-300 PLC与GE公司的MES系统,设计在PLC中与MES实时通信的FB块VDCA,自定义上位机与下位机的通信报文,通过Enternet实现上位机与下位机的实时通信.该设计减少了中间硬件,提高了通信过程中的数据稳定性,可操作性与通用性强,适用于工序多样的自动化生产线,实际运用到了发动机装配生产线,提高了发动机装配效率.",作者关键词:MES; PLC; MES; PLC; communication module; IIoT,作者关键词:通信模块; 工业物联网
